index,condition_flag,true_label,model_answer,match,input_tokens,output_tokens,cost_usd,latency_sec
0,SP_DIABETES,Fully Supported,Fully Supported,True,386,10,0.00218,1.9407711029052734
1,SP_DIABETES,Fully Supported,Fully Supported,True,387,10,0.0021850000000000003,0.7935621738433838
2,SP_DIABETES,Insufficient,Insufficient,True,373,9,0.0020900000000000003,0.9214601516723633
3,SP_DIABETES,Insufficient,Insufficient,True,384,9,0.002145,1.3316829204559326
4,SP_DIABETES,Unsupported,Unsupported,True,372,9,0.002085,1.0030419826507568
5,SP_DIABETES,Unsupported,Unsupported,True,390,9,0.0021750000000000003,1.5565390586853027
6,SP_CHF,Fully Supported,Unsupported,False,389,9,0.00217,1.329836130142212
7,SP_CHF,Insufficient,Insufficient,True,381,9,0.0021300000000000004,2.2533769607543945
8,SP_CHF,Insufficient,Insufficient,True,370,9,0.002075,1.1230359077453613
9,SP_CHF,Insufficient,Insufficient,True,376,9,0.002105,0.8773951530456543
10,SP_CHF,Unsupported,Unsupported,True,365,9,0.00205,0.8644700050354004
11,SP_CHF,Unsupported,Unsupported,True,386,9,0.0021550000000000002,0.9199910163879395
12,SP_COPD,Fully Supported,Fully Supported,True,389,10,0.002195,0.821699857711792
13,SP_COPD,Fully Supported,Fully Supported,True,392,10,0.00221,0.816525936126709
14,SP_COPD,Insufficient,Insufficient,True,368,9,0.002065,0.8175089359283447
15,SP_COPD,Insufficient,Insufficient,True,376,9,0.002105,0.8188960552215576
16,SP_COPD,Unsupported,Unsupported,True,370,9,0.002075,1.0239589214324951
17,SP_COPD,Unsupported,Unsupported,True,384,9,0.002145,1.0968499183654785
18,SP_CHRNKIDN,Fully Supported,Fully Supported,True,387,10,0.0021850000000000003,0.8533210754394531
19,SP_CHRNKIDN,Fully Supported,Fully Supported,True,390,10,0.0022,0.7822482585906982
20,SP_CHRNKIDN,Insufficient,Insufficient,True,369,9,0.0020700000000000002,0.8487489223480225
21,SP_CHRNKIDN,Insufficient,Insufficient,True,390,9,0.0021750000000000003,1.4353420734405518
22,SP_CHRNKIDN,Unsupported,Unsupported,True,368,9,0.002065,0.9981999397277832
23,SP_CHRNKIDN,Unsupported,Unsupported,True,381,9,0.0021300000000000004,1.2533071041107178
24,SP_STRKETIA,Fully Supported,Unsupported,False,397,9,0.00221,4.9121527671813965
25,SP_STRKETIA,Fully Supported,Insufficient,False,389,9,0.00217,1.1266629695892334
26,SP_STRKETIA,Insufficient,Unsupported,False,367,9,0.00206,0.9209527969360352
27,SP_STRKETIA,Insufficient,Unsupported,False,375,9,0.0021000000000000003,0.8183560371398926
28,SP_STRKETIA,Unsupported,Unsupported,True,371,9,0.0020800000000000003,1.2279157638549805
29,SP_STRKETIA,Unsupported,Unsupported,True,390,9,0.0021750000000000003,0.9269399642944336
30,SP_ALZHDMTA,Fully Supported,Fully Supported,True,396,10,0.00223,0.8225080966949463
31,SP_ALZHDMTA,Fully Supported,Insufficient,False,384,9,0.002145,1.3083620071411133
32,SP_ALZHDMTA,Insufficient,Unsupported,False,369,9,0.0020700000000000002,0.8329150676727295
33,SP_ALZHDMTA,Insufficient,Insufficient,True,382,9,0.002135,1.1124181747436523
34,SP_ALZHDMTA,Unsupported,Unsupported,True,370,9,0.002075,0.9243888854980469
35,SP_ALZHDMTA,Unsupported,Unsupported,True,383,9,0.0021400000000000004,1.1352460384368896
36,SP_RA_OA,Fully Supported,Fully Supported,True,401,10,0.002255,1.1272530555725098
37,SP_RA_OA,Fully Supported,Insufficient,False,388,9,0.0021650000000000003,1.0979619026184082
38,SP_RA_OA,Insufficient,Unsupported,False,376,9,0.002105,0.8471579551696777
39,SP_RA_OA,Insufficient,Insufficient,True,387,9,0.00216,1.1037781238555908
40,SP_RA_OA,Unsupported,Unsupported,True,367,9,0.00206,1.047025203704834
41,SP_RA_OA,Unsupported,Unsupported,True,391,9,0.00218,1.4315509796142578
